name,location,venue_type,website,capacity,parking,catering,accommodation,facilities,contact_name,contact_email,contact_phone,facebook,instagram,twitter,linkedin,tiktok,description,address,postcode,source,scraped_date,source_url,detected_town,christmas_party,private_dining,outdoor_space,wedding_licensed,parking_onsite,accommodation_onsite
The Abbots Fireside,Elham,Restaurant with Private Room,http://abbotsfireside.com/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01303 840566,,,,,,"Pub / Restaurant Medium (1-150) Eric & Helen Gaskell reopened The Abbot's Fireside on the 3rd December 2015.  All of our letting rooms are fully operational and can provide full cooked breakfasts and light lunches.  The main restaurant will be offering a fine-dining experience from mid February 2016.  Our well stocked bar is now open and we welcome non-residents to join us too. Eric & Helen also run The Duke of Cumberland in the neighbouring village of Barham,  the newly opened Gatekeeper in Etchinghill and The Jackdaw in Denton.  All three pubs are within a ten minute drive and offer a full restaurant and bar service. The Abbot's Fireside, surrounded by breathtaking countryside, has seven delightful bedrooms all named after the well-known or local people relating to the history of this ancient building. The Duke of Wellington used the hotel as his headquarters whilst preparing his battl","High Street, Elham, Kent, CT4 6TD",CT4 6TD,venues4hire.org,2026-09-03T10:06:21.095047,https://venues4hire.org/venue/details/25478/the-abbots-fireside,canterbury,False,False,False,False,False,True
The Barn,Royal Tunbridge Wells,Restaurant with Private Room,http://www.barn-pub-rest.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,×,Bookings Administrator,,01892 510424,https://www.facebook.com/TheBarnTwells/,https://www.instagram.com/thebarntwells/,https://twitter.com/TheBarnTWells,,,"Pub / Restaurant Medium (1-150) In addition to the excellent food and drink at great value prices, at The Barn, Tunbridge Wells, we are proud of our very friendly staff, which combined with the ‘barn’ character setting and decor makes us a special place for a meal in our lovely air conditioned Grill restaurant, or a drink and snack in our air conditioned bar and conservatory. Enjoy a drink or snack in our delightful garden, sunny during the day, heated for those cooler days and beautifully illuminated by night. FREE Wi-Fi is available in all areas. On evenings and weekends there is lots of FREE parking available adjacent to the premises. Check out our Special Offers and Promotions page for some fantastic offers!","1 Lonsdale Gardens, Lonsdale Gardens, Royal Tunbridge Wells, Kent, TN1 1NU",TN1 1NU,venues4hire.org,2026-09-03T10:06:22.894067,https://venues4hire.org/venue/details/25383/the-barn,tunbridge-wells,False,False,True,False,True,False
Whitstable Castle & Gardens,Whitstable,Wedding Venue,http://whitstablecastle.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Professional (manned),No on-site accommodation,"Onsite parking: 30 spaces, Disabled access, Disabled toilets, Lift, Kitchen: Yes - Professional (manned), Cutlery, Crockery, Bar: Yes - Manned, WiFi, Projector, Projector screen",Booking Administrator,,01227 281726,https://www.facebook.com/whitstablecastle,https://www.instagram.com/whitstablecastleofficial,,,,"Weddings Our largest room, The Mallandain, is licensed for civil weddings/partnerships and will seat up to 70 people for a ceremony. You can take your vows in front of the fireplace or in front of the window overlooking the gardens, either location gives a great opportunity for photographs. Business Conference Facilities Whitstable Castle now offers business conferencing and meeting facilities. All rooms have WI-FI access, screens & projectors and we also have a screen to TV facility available. We have large rooms with additional break-out rooms if required and the ability to offer catering on a large or small basis.","Whitstable Castle & Gardens, Tower Hill, Whitstable, Kent, CT5 2BW",CT5 2BW,venues4hire.org,2026-09-03T10:06:26.075278,https://venues4hire.org/venue/details/14408/whitstable-castle-gardens,canterbury,False,False,True,True,True,False
Allington Castle - Marquee Venue,Kent,Wedding Venue,,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,07817 472259,,,,,,"Castle Medium (1-150) Allington Castle is indeed one of Kent's best kept secrets. Nestled in 42 acres next to the river Medway near Maidstone, the Castle dates back to Medieval times and is surrounded by a moat. A large lake split by a Causeway leads up to the Castle entrance. The Castle is also surrounded by beautifully restored gardens featuring ornamental ponds & fountains, Italian gardens, Lavender walk, rose arbor with temple & walled Tiltyard garden. The Castle interiors are fully furnished and in character with its Medieval origins, with Tapestries, antique furniture & Great Hall in whom Henry VIII & Anne Boleyn dinned with Sir Thomas Wyatt around 1530.","near Maidstone, Maidstone, Kent, ME16 0NB",ME16 0NB,venues4hire.org,2026-09-03T10:06:26.992918,https://venues4hire.org/venue/details/25389/allington-castle-marquee-venue,maidstone,False,False,True,False,False,False
House of Agnes,Canterbury,Wedding Venue,http://www.houseofagnes.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,info@houseofagnes.co.uk,,https://www.facebook.com/houseofagnes,https://www.instagram.com/house_of_agnes/,https://twitter.com/HouseofAgnes,,,"Castle Medium (1-150) Weddings & Events Our garden terrace when set-up with marquee* can accommodate up to 90 seated guests and up to100 in the evening. A number of catering and drink packages are available, ranging from buffets to formal dining.  We are well versed in catering to all specific requirements, guaranteeing exclusive use of our facilities and ensuring your experience is one that will be cherished.","House of Agnes, 71 St Dunstans Street, Canterbury, Kent, CT2 8BN",CT2 8BN,venues4hire.org,2026-09-03T10:06:29.698166,https://venues4hire.org/venue/details/14263/house-of-agnes,canterbury,False,False,True,True,False,False
Leeds Castle Maidstone,Broomfield,Wedding Venue,http://www.leeds-castle.com/Weddings/Packages+%26+Menus,Small (1-50),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,00162 276540,,,,,,"Castle Small (1-50) Rising majestically from the still waters of its moat, surrounded by 500 acres of parkland and gardens, Leeds Castle is one of the most beautiful wedding venues in Kent. A range of wedding packages are available to create your perfect day. The Castle provides the perfect setting for your ceremony for up to 100 guests.","Main Street, Broomfield, Kent, ME17 1PL",ME17 1PL,venues4hire.org,2026-09-03T10:06:30.563968,https://venues4hire.org/venue/details/9484/leeds-castle-maidstone,maidstone,False,False,True,True,False,False
Tonbridge Castle,Tonbridge,Wedding Venue,,Large (1-300),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01732 770929,,,,,,Castle Large (1-300) Tonbridge Castle Reputedly England's finest example of a Motte and Bailey Castle with a splendid 13th Century Gatehouse.,"Castle Street, Tonbridge, Kent, TN9 1BG",TN9 1BG,venues4hire.org,2026-09-03T10:06:33.239992,https://venues4hire.org/venue/details/25574/tonbridge-castle,tonbridge,False,False,False,False,False,False
The Historic Dockyard Chatham,Chatham,Conference Venue,,Large (1-300),Onsite parking,No on-site catering,No on-site accommodation,"Onsite parking: 1000 spaces, Nearby parking: Within 0 metres, Disabled access, Disabled toilets, Bar: Yes - Fully stocked, WiFi, Projector, Projector screen, PA system",Bookings Administrator,,01634 823846,,,,,,"Weddings The Ballroom and Sunne Room, both beautiful light airy rooms overlooking the gardens, are ideal for the intimate and larger wedding ceremony alike. Each room has a different ambience and the layout and seating can be arranged to suit your individual needs. Business Meetings We combine all you would expect from a superior venue, with something extra, something memorable, something that will inspire. We have a number of options for you to choose from depending on the size of your event.","The Historic Dockyard, Main Gate Road, Chatham, Medway, ME4 4TZ",ME4 4TZ,venues4hire.org,2026-09-03T10:06:38.128276,https://venues4hire.org/venue/details/14032/the-historic-dockyard-chatham,maidstone,False,False,True,True,True,False
Braid Farm - Marquee Venue,Kent,Party Venue,http://www.braidfarmholidays.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Booking Administrator,,01233 771982,,,,,,"Marquee Venue Medium (1-150) If you're looking to get away and have a nice quiet relaxing holiday this year, why not visit Braid Farm located in rural countryside in the heart of Kent, boasting 18 acres of fields, paddocks and woods including a fishing lake and two ornimental lakes. On-Site Caravan Hire Caravan & Camping Site Weddings Venue Fishing Ideally suited within driving distance of local Kent attractions and with our pet Wallaby's offering a wealth of entertainment, Braid Farm is the perfect Self Catering Kent Holiday spot you've been looking for.","Burnthouse Lane, Smarden, Kent, TN27 8PT",TN27 8PT,venues4hire.org,2026-09-03T10:06:40.418092,https://venues4hire.org/venue/details/24754/braid-farm-marquee-venue,ashford,False,False,True,True,False,False
"Eridge Park Estate - Festivals, Weddings, Sporting Events , Location Shoots & Outdoor Events - Eridge, Tunbridge Wells",Kent,Party Venue,http://eridgepark.co.uk/,Extra Large (300+),Onsite parking,No on-site catering,No on-site accommodation,"Onsite parking: 400 spaces, Disabled access",Event Coordinator,admin@nevillestate.co.uk,,,,,,,"Eridge Park is a beautiful country estate on the border of Kent and Sussex, just two miles south of Tunbridge Wells in the heart of the stunning High Weald countryside. With extensive facilities set in 3,000 acres of glorious private parkland, Eridge Park is the perfect setting for weddings, private parties, corporate events, open-air concerts, country pursuits, game and country fairs, sporting competitions and camping. It also provides a stunning location for films and photo shoots, plus the Estate offers a variety of commercial and residential properties for rent – all just a 50-minute train journey from London.","Eridge Park Estate, Eridge Green, Eridge, Tunbridge Wells, England, TN3 9JT",TN3 9JT,venues4hire.org,2026-09-03T10:06:45.878988,https://venues4hire.org/venue/details/25617/eridge-park-estate-festivals-weddings-sporting-events-location-shoots-outdoor-events,tunbridge-wells,False,False,False,True,True,False
Marleybrook House,Canterbury,Party Venue,http://www.marleybrookhouse.co.uk/,Extra Large (300+),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,info@marleybrookhouse.co.uk,01227 668661,https://www.facebook.com/Marleybrookhouse,https://www.instagram.com/marleybrookhouse/?hl=en,,,https://www.tiktok.com/@marleybrookhouse,"Marleybrook House is a beautifully unique wedding venue set in the quaint village of Preston, Canterbury. The venue is centred around a stunning 17th Century thatched farmhouse. The house, former home to the legendary international singer, actress and cabaret star Eartha Kitt, is the perfect backdrop for some stunning photo opportunities and the extending nine acres of surrounding countryside grounds will leave any photographer feeling spoilt for choice. Create your perfect, bespoke wedding and entertain your guests with our Fairground, a whimsical wonderland of fun and excitement that your guests will be talking about for years to come. Enjoy an array of exhilarating rides, stalls and our quintessential indoor beach, creating an authentic and vintage charm for your special day. The immaculate venue paired with our trusted and highly skilled coordination team truly make the venue perfect","Stourmouth Road, Canterbury, Kent, CT3 1HP",CT3 1HP,venues4hire.org,2026-09-03T10:06:50.420777,https://venues4hire.org/venue/details/25380/marleybrook-house,canterbury,False,False,True,True,False,False
Richard Streatfeild,Edenbridge,Party Venue,http://www.hoathhouse.com,Large (1-300),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,Has onsite accommodation,"Onsite parking: 40 spaces, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 7 rectangle tables, Seating: 50 chairs, Cutlery, Crockery, WiFi, PA system",Bookings Administrator,,07973 842139,,,,,,"Weddings Hoath House has a ceremony licence which gives you great flexibility. You can make use of  either of the conjoined rooms or both, The Old Library and the The Drawing Room. The Drawing Room area is an intimate venue for a smaller wedding. Holidays Events and Receptions Hoath House is a unique venue for your holiday, wedding reception or family event.  With four large reception rooms it can comfortably accommodate up to 100 and 180 if you want to put a marquee on the lawn.","Hoath House, Chi, Chiddingstone Hoath, Edenbridge, Kent, TN8 7DB",TN8 7DB,venues4hire.org,2026-09-03T10:06:52.212609,https://venues4hire.org/venue/details/13979/richard-streatfeild,tonbridge,False,False,True,True,True,False
Riverview Manor - Marquee Venue,Kent,Party Venue,http://riverviewmanor.co.uk/,Large (1-300),onsite parking etc.,The great additional feature is that you can choose your  own caterers and drink suppliers.,No on-site accommodation,"Onsite parking: 120 spaces, Nearby parking: Within 10 metres, Disabled access, Tables: 40 round tables,, 5 rectangle tables, Seating: 400 chairs, Staging, Projector, Projector screen, PA system",Saf,info@riverviewmanor.co.uk,07984 123614,https://www.facebook.com/theriverviewmanor/,,http://twitter.com/riverviewuk,,,"Riverview Manor is a unique wedding venue which offers a beautiful marquee within its 6 acres of land next to the River Medway. It has great views all round. The great additional feature is that you can choose your  own caterers and drink suppliers. The Marquee includes chandelier lighting, hard carpeted floor, stage, table and chairs, luxury toilets, red carpet entrance under a pagoda, free onsite parking etc. You can come in a day earlier with family and friends to decorate and add your personal touch. Why not pop round for a no obligation viewing? Give us a try, you will not disappointed.","Riverview Manor, Wouldham Road, Rochester, Kent, ME1 3TL",ME1 3TL,venues4hire.org,2026-09-03T10:06:53.151062,https://venues4hire.org/venue/details/26309/riverview-manor-marquee-venue,maidstone,False,False,True,True,True,False
The Night Yard,Bridge,Party Venue,http://www.thenightyard.com/,Medium (1-150),Onsite parking,"We have left the choice of catering and have provided a list of Hand Picked Caterers to chose from, giving you plenty of flexibility",No on-site accommodation,"Onsite parking: 75 spaces, Nearby parking: Within 5 metres, Disabled access, Disabled toilets, Tables: 12 round tables,, 24 rectangle tables, Seating: 140 chairs, Bar: Yes - Fully stocked, WiFi, Projector, Projector screen, PA system",Venue Events Team,info@thenightyard.com,01227 832116,https://www.facebook.com/thenightyard,https://www.instagram.com/thenightyard/,,,,"So you want unique, a place where you can express yourself and where your wishes and desires will be completely understood and realised. You will have the freedom, the advice and the magic beyond your expectations in The Night Yard. This diamond cushioned in the beauty of rural Kent was designed and restored to include all of the essentials you need to make it Your Day. We have left the choice of catering and have provided a list of Hand Picked Caterers to chose from, giving you plenty of flexibility.  We leave the choice of decorations and entertainment up to you so that you and your partners personalities can shine through. Facilities and capacity Allowing you to decide on the level of formality, size and style, The Night Yard have plenty space for 140 seated guests in their marquee. They can also manage an additional 100 guests in the evening.  Our lawned quadrangle and marquee provid","Highland Court Farm, Bridge, England, CT4 5HW",CT4 5HW,venues4hire.org,2026-09-03T10:06:54.932578,https://venues4hire.org/venue/details/25514/the-night-yard,canterbury,False,False,True,False,True,False
THE WEALD OF KENT - Marquee Venue,Kent,Party Venue,http://www.weald-of-kent.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Booking administrator,jm.bayley@live.co.uk,01622 891671,https://www.facebook.com/WealdOfKent/,https://www.instagram.com/wealdofkent,,,,"Marquee Venue Medium (1-150) The Weald of Kent is a beautifully maintained 18 hole parkland golf course and hotel set in rolling Kent countryside with far reaching views, just a short drive from Maidstone & Ashford. With many elevations, lakes and hazards the golf course is designed to challenge the most confident of players, but the well-maintained and wide fairways are forgiving to the golfing beginner too. The course suits all levels of play and is open all year round to members, visitors and hotel residents.","Maidstone Road, Headcorn, Kent, TN27 9PT",TN27 9PT,venues4hire.org,2026-09-03T10:06:55.848066,https://venues4hire.org/venue/details/24998/the-weald-of-kent-marquee-venue,ashford,False,False,True,False,False,False
Wise Wedding Venue,Tonbridge,Party Venue,http://www.wiseweddingvenue.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Medium - basic food preparation,Has onsite accommodation,"Onsite parking: 100 spaces, Disabled access, Kitchen: Yes - Medium - basic food preparation, Tables: 15 round tables,, 25 rectangle tables, Seating: 150 chairs, Bar: Yes - Fully stocked, Staging, PA system, Traditional marquee",sam,info@wiseweddingvenue.co.uk,07876 701685,https://www.facebook.com/wiseweddingvenue,https://www.instagram.com/wiseweddingvenue?igsh=M3JzN250M29yMDhk&utm_source=qr,,,,"Wise Wedding Venue is a delightful woodland hide away offering an unusual and unique location for your special day. The venue is set within ten acres of mature oak, silver birch and hazel with a variety of open clearings and picturesque lakes and a fabulous treehouse to relax within and gaze upon the days festivities. Alongside everything that you would expect from an outdoor wedding venue we also offer a range of more quirky additions. You can drift away in one of our suspended sofas, levitate on the seesaw armchairs or stroll through a labyrinth of illuminated pathways and discover a variety of lighting installations that only come to life once the sun goes down.","Whetsted Farm, Five Oak Green, Tonbridge, Kent, TN12 6SG",TN12 6SG,venues4hire.org,2026-09-03T10:06:56.723114,https://venues4hire.org/venue/details/22205/wise-wedding-venue,tonbridge,False,False,True,True,True,False
Acacia Hall - Marquee Venue,Kent,Party Venue,http://www.acaciahall.co.uk/,Small (1-50),No parking,No on-site catering,No on-site accommodation,×,Bookings Administrator,,01322 282052,,,,,,"Marquee Venue Small (1-50) Set in 30 acres, Acacia offers a leisure, business and social complex comprising of a Grade II listed mansion house, large function hall, ballroom, bar and luxury marquee. The grounds also house a multi-purpose sports centre complete with a dance studio and sports fields. Acacia is located at the heart of the historic town of Dartford, accessible from the M25 and A2 and is close to many local hotels. Dartford Borough Council is currently in negotiation with a new contractor to run the facilities on our behalf, at Acacia Hall.","High Street, Dartford, Kent, DA1 1DJ",DA1 1DJ,venues4hire.org,2026-09-03T10:06:59.017236,https://venues4hire.org/venue/details/24729/acacia-hall-marquee-venue,dartford,False,False,True,False,False,False
Bilsington Priory - Marquee Venue,Kent,Party Venue,http://bilsingtonpriory.co.uk/c,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,enquiries@bilsingtonpriory.co.uk,01233 720992,https://www.facebook.com/Bilsingtonprioryestate/,https://www.instagram.com/bilsingtonpriory/,,,,"Marquee Venue Medium (1-150) Judges described St Augustine’s Priory as a stunning venue with a real WOW Factor, commenting that any bride would feel really special in this impressive setting steeped in history. A beautiful space to marry in, a dedicated team to look after you and sumptuous menu choices.","Priory Road, Ashford, Kent, TN25 7AU",TN25 7AU,venues4hire.org,2026-09-03T10:06:59.924386,https://venues4hire.org/venue/details/26291/bilsington-priory-marquee-venue,ashford,False,False,True,False,False,False
Boughton Monchelsea Place,Kent,Party Venue,http://www.boughtonplace.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,mk@boughtonplace.co.uk,01622 743120,,,,,,"Marquee Venue Medium (1-150) Boughton Monchelsea Place is an exquisite venue which may be hired throughout the year. This beautiful 16th century manor house enjoys perhaps the best view in Kent, looking down over its own deer park and some 15 miles of unspoilt countryside. The house is privately owned and is still used as a family home. This helps to give a special atmosphere of intimacy to any event. Boughton Monchelsea Place is available for many different uses, ranging from corporate events to weddings, conferences, fairs, guided tours and film shoots. We schedule a small number of public events during the year. At all other times, Boughton Monchelsea Place is closed to the general public, so if you hire this venue, you are guaranteed exclusive use for your special event.","Church Hill, Boughton Monchelsea, Kent, ME17 4BU",ME17 4BU,venues4hire.org,2026-09-03T10:07:00.827557,https://venues4hire.org/venue/details/24752/boughton-monchelsea-place-marquee-venue,maidstone,False,False,True,True,False,False
Bradbourne House - Marquee Venue,Kent,Party Venue,http://www.bradbournehousekent.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,enquiries@bradbournehousekent.co.uk,01732 897436,https://www.facebook.com/BradbourneHouseKent/,https://www.instagram.com/bradbournehouse/,,,,"Marquee Venue Medium (1-150) We are delighted to say that you are about to discover this elegant jewel of a venue in Kent, that is … Bradbourne House. Set in 20 acres of beautiful parkland complete with lake and ancient trees, this Grade I listed building, which was originally built in Tudor times, feels as though it was purpose built to stage events such as elegant weddings, private celebrations such as Birthday and Anniversary parties along with fine dining corporate events. Imagine owning your very own country manor and inviting all your family and friends, clients or staff to join you for a day of elegance and splendour. This is what awaits you when you have your event at Bradbourne House. We offer you exclusive use of our truly stunning venue along with exquisite culinary delights and planning partner to guide and assist you.","New Rd, East Malling, Kent, ME19 6DZ",ME19 6DZ,venues4hire.org,2026-09-03T10:07:01.729615,https://venues4hire.org/venue/details/24753/bradbourne-house-marquee-venue,maidstone,False,False,True,True,False,False
Chafford Park - Marquee Venue,Kent,Party Venue,http://chaffordpark.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01892 740222,,,,,,"Marquee Venue Medium (1-150) Chafford Park is located on the Kent and Sussex borders just off the A264, between Tunbridge Wells and East Grinstead. The estate is situated within a beautiful countryside setting, with rolling hills and farms as far as the eye can see.","Ashurst, Chafford Lane, Fordcombe, Kent, TN3 9UR",TN3 9UR,venues4hire.org,2026-09-03T10:07:02.639108,https://venues4hire.org/venue/details/25837/chafford-park-marquee-venue,tunbridge-wells,False,False,True,False,False,False
Chiddingstone Castle,Kent,Party Venue,http://www.chiddingstonecastle.org.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01892 870347,,,,,,Marquee Venue Medium (1-150) Chiddingstone Castle is an impressive Historic House filled with exotic treasures in an idyllic country setting - home of the late antiquarian Denys Bower and formerly the Streatfeild family since the 17th Century - now a visitor attraction and an award-winning wedding venue.,"Hill Hoath Road, Chiddingstone, Kent, TN8 7AD",TN8 7AD,venues4hire.org,2026-09-03T10:07:03.542884,https://venues4hire.org/venue/details/25073/chiddingstone-castle-marquee-venue,tonbridge,False,False,True,True,False,False
Chilston Park Hotel - Marquee Venue,Kent,Party Venue,http://www.handpickedhotels.co.uk,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,08450 727426,,,,,,"Marquee Venue Medium (1-150) Set in a 17th-century manor and adjacent mews on 22 acres of parkland, this upscale country house hotel is 6.2 miles from the M20 motorway and 10.3 miles from Maidstone. The elegant rooms are individually styled, and some feature original architectural details such as beamed ceilings. Suites have luxurious antique furniture, plush fabrics and period fireplaces, plus scenic views and extra living space. All come with free WiFi, flat-screen TVs, and DVD players, while in-room gym and yoga equipment is also available. Breakfast is included, and there's also a fine-dining restaurant and an elegant lounge serving afternoon tea.","Boughton Road, Sandway, Maidstone, Kent, ME17 2BE",ME17 2BE,venues4hire.org,2026-09-03T10:07:04.461826,https://venues4hire.org/venue/details/25386/chilston-park-hotel-marquee-venue,maidstone,False,False,True,False,False,False
Detling Village Hall - Marquee Venue,Kent,Party Venue,http://www.detlingvillagehall.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,penny@detlingvillagehall.co.uk,01622 730667,,,,,,Marquee Venue Medium (1-150) This is your portal to everything you need to know to start enjoying the Village Hall. If you’d like to find out more about the facilities available at the hall why not take a look at our facilities page or drop us an email on penny@detlingvillagehall.co.uk . Or why not take a look at the gallery page to view some pictures of the hall and Detling Village.,"Maidstone, Maidstone, Kent, ME14 3EY",ME14 3EY,venues4hire.org,2026-09-03T10:07:05.322720,https://venues4hire.org/venue/details/26221/detling-village-hall-marquee-venue,maidstone,False,False,True,False,False,False
Devil's Kneading Trough - Marquee Venue,Kent,Party Venue,http://www.kentdowns.org.uk/40-places/devils-kneading-trough,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01303 815170,,,,,,"Marquee Venue Medium (1-150) Enjoy stunning views from this dramatic site over the Romney Marsh and Weald and out to the English Channel. Why not have a picnic, fly a kite or enjoy the wealth of wildlife and catch a glimpse of rare species of orchid and butterfly. The Devil's Kneading Trough is part of the Wye National Nature Reserve owned and managed by Natural England. The chalk grassland is renowned for the range of orchids it supports; 21 species have been recorded at the site including lady orchid, fly orchid and the rare late and early spider orchid and man orchid.The dramatic coombe is managed for wildlife by grazing by White Park cattle. This helps to maintain the grassland in such a way as to create an ideal habitat for many insect and flower species species. As well as grassland the reserve includes areas of scrub, woodland and over 3.5 km of hedgerows. These habitats support a","Wye Downs, Hastingleigh, Kent, TN25 5HE",TN25 5HE,venues4hire.org,2026-09-03T10:07:06.204088,https://venues4hire.org/venue/details/26290/devils-kneading-trough-marquee-venue,ashford,False,False,True,False,False,False
Eastwell Manor - Marque Venue,Kent,Party Venue,https://www.champneys.com/hotels/eastwell-manor/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,reservations@eastwellmanor.co.uk,03432 241700,https://www.facebook.com/ChampneysResorts,https://www.instagram.com/champneysspas/,,,https://www.tiktok.com/@champneysspas?,"Marquee Venue Medium (1-150) A luxury spa hotel in Kent, Eastwell Manor is a picture-perfect countryside break in the heart of the Garden of England. Home to traditional afternoon tea, a fairy tale wedding venue, a Champneys spa, inspiring meeting spaces and an award-winning restaurant, our speciality is special occasions and helping you celebrate in style. Escape to the Champneys spa for a moment of peace. We'll soothe you back to your best with health and beauty treatments, access to the indoor and outdoor 20-metre heated swimming pools, whirl pool, steam room, sauna, and relaxation beds. Other leisure facilities include a 3000 square foot gym, scenic nature trails and guided walks. Plus, a petanque court and croquet lawn are all available to you.","Eastwell Park, Boughton Lees, Ashford, Kent, TN25 4HR",TN25 4HR,venues4hire.org,2026-09-03T10:07:07.133328,https://venues4hire.org/venue/details/25482/eastwell-manor-marque-venue,ashford,False,False,True,True,False,False
Elvey Farm Country Hotel - Marquee Venue,Kent,Party Venue,,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01233 840442,,,,,,"Marquee Venue Medium (1-150) Set in a converted medieval oast house, stable, granary and barn, this luxe farmstead guesthouse in a rural setting is 9.1 miles from Ashford and 9.2 miles from Leeds Castle. The rustic-chic rooms feature original architectural details including exposed stone walls, vaulted ceilings and wooden beams. All have TVs, DVD players and free WiFi, and tea and coffeemaking facilities. Suites add separate living rooms and balconies/terraces, while 1 has a private garden with a hot tub.","Elvey Lane, Pluckley, Ashford, Kent, TN27 0SU",TN27 0SU,venues4hire.org,2026-09-03T10:07:08.940988,https://venues4hire.org/venue/details/25446/elvey-farm-country-hotel-marquee-venue,ashford,False,False,True,False,False,False
Falconhurst - Marquee Venue,Kent,Party Venue,http://www.falconhurst.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,,https://www.facebook.com/falconhurst1852,https://www.instagram.com/falconhurstestate/,,,,"Marquee Venue Medium (1-150) Falconhurst is the place to go for that perfect wedding venue, film shoot, country cottage or small business set up. The main house on the estate with extensive romantic gardens and historic grounds is available to hire for personalised marquee weddings, music events and film shoot locations together with accommodation in the house or at our holiday cottage in the woods nearby.","Edenbridge, Markbeech, Kent, TN8 5NR",TN8 5NR,venues4hire.org,2026-09-03T10:07:09.841322,https://venues4hire.org/venue/details/26378/falconhurst-marquee-venue,tonbridge,False,False,True,True,False,True
Four Elms Cricket Club,Kent,Party Venue,http://www.fourelmscricketclub.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,info@fourelmscricketclub.co.uk,,https://www.facebook.com/FourElmsCC/,https://www.instagram.com/fourelmscricketclub/,https://twitter.com/FourElmsCC,,,"Marquee Venue Medium (1-150) The picturesque village ground of Four Elms nestles beneath the North Downs, one and a half miles from two of the most historic attractions in England, Sir Winston Churchill's house, Chartwell and Henry VIII’s wife, Anne Boleyn's home, Hever Castle. We currently run two sides on a Saturday playing in the Kent Village League, one on a Sunday, an occasional midweek XI and a flourishing junior section. If you would like to join Four Elms Cricket Club either as a playing or non-playing member and enjoy, as we currently do!, the sound of leather on willow, the natural beauty of the surrounding countryside, quality teas and a friendly atmosphere, then please get in touch or better still pop in the pavilion for a chat and a pint during a game, we’ll be pleased to meet you and discuss the club and membership details. Membership forms can be found on the membership pa","Bough Beech Road, Four Elms, Kent, TN8 6NE",TN8 6NE,venues4hire.org,2026-09-03T10:07:10.779347,https://venues4hire.org/venue/details/26295/four-elms-cricket-club-marquee-venue,tonbridge,False,False,True,False,False,False
Hever Castle & Gardens,Kent,Party Venue,http://www.hevercastle.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,info@hevercastle.co.uk,01732 865224,https://www.facebook.com/hevercastle,https://instagram.com/hever_castle/,https://twitter.com/hevercastle,,https://www.tiktok.com/@hevercastle,"Marquee Venue Medium (1-150) Hever Castle is an important historic castle on the English landscape, once the family home of one of England’s most famous Queens – Anne Boleyn, the intriguing second wife of Henry VIII and mother of Elizabeth I. The castle is a romantic double moated 13th century castle which houses historic 16th century portraits, paintings, furniture, tapestries and treasures. Comprehensive information on the history of Hever Castle can be found in the guide book and audio tours are available from the Hever Shop, Visitor Centre or castle entrance. Visitors can explore the magnificent gardens for all seasons which include Italian, Rose and Tudor gardens, topiary, yew maze and splashing water maze, or take a stroll around the informal areas of Sunday Walk and Anne Boleyn’s Walk. Hever hosts a number of special events throughout the season including gardening events with the","Hever Castle, Stable Flats, Hever, Kent, TN8 7NG",TN8 7NG,venues4hire.org,2026-09-03T10:07:13.452919,https://venues4hire.org/venue/details/25639/hever-castle-gardens-marquee-venue,tonbridge,False,False,True,False,False,False
