Venue Name,URL,Score,Severity,Unclaimed Listing,Description Length,Photo Count,Amenity Count,Has Capacity,Has Parking,Has Catering,Has Accommodation,Has Accessibility,Has Address,Has Email,Email Address,Email Source,Has Phone,Has Website,Room Count,Issue Count,Critical Issues,Warnings,Suggestions
The Marquis Of Granby,https://www.kentvenues.co.uk/venues/the-marquis-at-alkham,59,Critical,No,987,7,2,No,No,Yes,Yes,No,Yes,Yes,info@marquisofgranby.co.uk,form,No,Yes,3,6,1,3,2
The Marquis at Alkham,https://www.kentvenues.co.uk/venues/the-marquis-at-alkham-2,37,Critical,No,299,6,0,No,No,Yes,No,No,No,Yes,info@marquisofgranby.co.uk,form,No,Yes,0,8,2,3,3
The Mary Rose Inn Hotel,https://www.kentvenues.co.uk/venues/the-mary-rose-inn-hotel,64,Critical,No,402,5,4,No,No,Yes,Yes,No,Yes,Yes,admin@maryroseinnhotel.com,form,No,Yes,1,5,1,2,2
The Moat,https://www.kentvenues.co.uk/venues/the-moat,0,Critical,No,0,0,0,No,No,No,No,No,No,Yes,enquiries@themoatwrotham.co.uk,form,No,Yes,0,11,4,4,3
The Mulberry Tree,https://www.kentvenues.co.uk/venues/the-mulberry-tree,12,Critical,No,1637,0,0,No,No,Yes,No,No,Yes,No,,,No,Yes,0,8,4,2,2
The Net Centre,https://www.kentvenues.co.uk/venues/the-net-centre,17,Critical,No,270,0,0,No,No,No,No,No,Yes,Yes,dartford@thenetchurch.co.uk,form,No,Yes,1,9,3,3,3
The New Inn,https://www.kentvenues.co.uk/venues/the-new-inn,30,Critical,No,112,1,0,No,No,Yes,No,No,Yes,Yes,regans2018@hotmail.com,form,No,Yes,1,9,2,4,3
The Night Yard,https://www.kentvenues.co.uk/venues/the-night-yard,12,Critical,Yes,84,7,0,No,No,No,No,No,Yes,Yes,info@thenightyard.com,form,No,Yes,1,10,3,4,3
"The Oak Barn, Frame Farm",https://www.kentvenues.co.uk/venues/the-oak-barn,91,Suggestions,No,1984,5,6,Yes,Yes,Yes,No,Yes,Yes,Yes,info@the-oak-barn.co.uk,form,No,Yes,3,3,0,0,3
The Oak Grove,https://www.kentvenues.co.uk/venues/the-oak-grove,45,Critical,No,370,6,0,No,No,Yes,No,No,Yes,Yes,mail@theoakgrove.uk,form,No,Yes,0,7,2,2,3
The Old Kent Barn,https://www.kentvenues.co.uk/venues/the-old-kent-barn,52,Critical,No,437,4,0,Yes,No,Yes,No,No,Yes,Yes,events@theoldkentbarn.co.uk,form,No,Yes,0,8,1,2,5
The Olympic,https://www.kentvenues.co.uk/venues/the-olympic,40,Critical,No,229,3,0,No,No,Yes,No,No,Yes,Yes,sales@swanleytowncouncil.gov.uk,form,No,Yes,3,8,2,2,4
The Orchards Events Venue,https://www.kentvenues.co.uk/venues/the-orchards-events-venue,74,Warning,No,484,4,3,Yes,No,No,Yes,Yes,Yes,Yes,events@theorchardseastmalling.co.uk,form,No,Yes,3,5,0,2,3
The Paper Mill,https://www.kentvenues.co.uk/venues/the-paper-mill,27,Critical,No,248,1,0,No,No,No,No,No,Yes,Yes,exclusivewoodlandweddings@gmail.com,form,No,Yes,0,9,2,4,3
The Plough and Barn at Leigh,https://www.kentvenues.co.uk/venues/the-plough-and-barn-at-leigh,40,Critical,No,399,4,0,No,No,Yes,No,No,Yes,Yes,info@theploughatleigh.com,form,No,Yes,1,8,2,2,4
The Pond Cafe,https://www.kentvenues.co.uk/venues/the-pond-cafe,57,Critical,No,772,5,0,Yes,Yes,Yes,No,No,No,Yes,thepond.tylandbarn@gmail.com,form,No,No,0,7,1,2,4
The Pound at One Pound Lane,https://www.kentvenues.co.uk/venues/the-pound-at-one-pound-lane,55,Critical,No,460,6,2,No,No,Yes,No,No,Yes,Yes,hello@onepoundlane.co.uk,form,No,Yes,3,7,1,3,3
The Quee Suite,https://www.kentvenues.co.uk/venues/the-quee-suite,78,Critical,No,4263,12,6,Yes,Yes,Yes,No,Yes,Yes,No,,,No,Yes,3,3,1,0,2
The Redstart Inn,https://www.kentvenues.co.uk/venues/the-redstart-inn,53,Critical,No,530,2,2,No,Yes,Yes,No,No,Yes,Yes,redstart@live.co.uk,form,No,Yes,1,7,1,3,3
The Rising Sun,https://www.kentvenues.co.uk/venues/the-rising-sun,54,Critical,No,419,1,3,No,No,Yes,Yes,No,Yes,Yes,info@therisingsunstourmouth.co.uk,form,No,Yes,0,6,1,3,2
The Rochester Corn Exchange,https://www.kentvenues.co.uk/venues/the-rochester-corn-exchange,41,Critical,No,141,1,0,Yes,No,No,Yes,No,Yes,Yes,communications@medway.gov.uk,form,No,Yes,3,8,1,5,2
The Roffen Club,https://www.kentvenues.co.uk/venues/the-roffen-club,52,Critical,No,609,10,6,No,No,No,No,No,Yes,Yes,mail@roffen.com,form,No,Yes,0,7,1,3,3
The Royal Oak Hotel,https://www.kentvenues.co.uk/venues/the-royal-oak-hotel,31,Critical,No,646,1,0,No,No,No,Yes,No,Yes,Yes,reservations@theroyaloakhotelsevenoaks.co.uk,form,No,Yes,3,8,2,4,2
The Salad House,https://www.kentvenues.co.uk/venues/the-salad-house,12,Critical,No,761,0,0,No,No,Yes,No,No,Yes,No,,,No,No,1,8,4,2,2
The Secret Garden,https://www.kentvenues.co.uk/venues/the-secret-garden,63,Critical,No,858,8,1,No,No,Yes,No,Yes,Yes,Yes,events@secretgardenkent.co.uk,form,No,Yes,3,6,1,2,3
The Shurland Hotel,https://www.kentvenues.co.uk/venues/the-shurland-hotel,75,Critical,No,652,4,6,No,Yes,Yes,Yes,Yes,Yes,Yes,hotelshurland@gmail.com,form,No,Yes,3,4,1,0,3
The Source Bar,https://www.kentvenues.co.uk/venues/the-source-bar,50,Critical,No,396,3,1,No,No,Yes,No,No,Yes,Yes,contact@thesourcebar.co.uk,form,No,Yes,1,8,1,3,4
The Spa Hotel,https://www.kentvenues.co.uk/venues/the-spa-hotel,95,Suggestions,No,2383,16,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,reservations@spahotel.co.uk,form,No,Yes,3,2,0,0,2
The Star & Eagle,https://www.kentvenues.co.uk/venues/the-star-eagle,46,Critical,No,275,4,1,No,No,No,Yes,No,Yes,Yes,starandeagle@starandeagle.com,form,No,Yes,1,8,1,4,3
The Swan Wine Kitchen,https://www.kentvenues.co.uk/venues/the-swan-wine-kitchen,35,Critical,No,385,1,0,No,No,Yes,No,No,Yes,Yes,hello@illbemother.co.uk,form,No,Yes,0,8,2,3,3
The Tenterden Club,https://www.kentvenues.co.uk/venues/the-tenterden-club,50,Critical,No,1450,1,6,No,No,Yes,No,No,Yes,Yes,thetenterdenclub@btconnect.com,form,No,Yes,2,7,1,3,3
The Victoria Hotel,https://www.kentvenues.co.uk/venues/the-victoria-hotel,54,Critical,No,350,3,5,No,Yes,Yes,Yes,No,Yes,No,,,No,Yes,3,5,2,1,2
The White Bear,https://www.kentvenues.co.uk/venues/the-white-bear,50,Critical,No,711,3,2,No,No,Yes,No,No,Yes,Yes,whitebeartn1@youngs.co.uk,form,No,Yes,1,8,1,3,4
The White Horse Inn,https://www.kentvenues.co.uk/venues/the-white-horse-inn,72,Critical,No,1015,5,4,No,Yes,Yes,Yes,No,Yes,Yes,whitehorseinn@live.co.uk,form,No,Yes,1,4,1,1,2
The White Swan,https://www.kentvenues.co.uk/venues/the-white-swan,45,Critical,No,171,4,1,No,No,Yes,No,No,Yes,Yes,info@thewhiteswanpub.co.uk,form,No,Yes,1,9,1,4,4
The Winding House,https://www.kentvenues.co.uk/venues/the-winding-house,70,Critical,No,711,3,2,No,Yes,Yes,Yes,Yes,Yes,Yes,vicki.coulson@gmail.com,form,No,Yes,0,5,1,1,3
The Woodville,https://www.kentvenues.co.uk/venues/the-woodville,25,Critical,No,398,0,0,No,No,Yes,No,No,Yes,Yes,boxoffice@gravesham.gov.uk,form,No,Yes,0,8,3,2,3
The Workary Welling,https://www.kentvenues.co.uk/venues/the-workary-welling,27,Critical,No,226,2,0,No,No,No,No,No,Yes,Yes,tour@wimbletech.com,form,No,Yes,1,9,2,4,3
The Yarrow,https://www.kentvenues.co.uk/venues/the-yarrow,34,Critical,No,0,4,2,No,No,Yes,Yes,No,Yes,Yes,enquiries@yarrowhotel.co.uk,form,No,Yes,3,8,2,3,3
Three Hills Sports Park,https://www.kentvenues.co.uk/venues/three-hills-sports-park,90,Suggestions,No,3599,4,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,enquiries@3hsp.co.uk,form,No,Yes,3,3,0,0,3
Tonbridge Castle,https://www.kentvenues.co.uk/venues/tonbridge-castle,4,Critical,No,0,2,0,No,No,No,No,No,Yes,Yes,tonbridge.castle@tmbc.gov.uk,form,No,Yes,0,11,3,4,4
Tonbridge Grammar School,https://www.kentvenues.co.uk/venues/tonbridge-grammar-school,32,Critical,No,465,3,0,No,No,No,No,No,Yes,Yes,booking.enquiries@tgs.kent.sch.uk,form,No,Yes,1,9,2,3,4
Tonbridge School (Events),https://www.kentvenues.co.uk/venues/tonbridge-school-events,32,Critical,No,505,4,0,No,No,No,No,No,Yes,Yes,events@tonbridge-school.org,form,No,Yes,3,9,2,3,4
TOR Spa Retreat,https://www.kentvenues.co.uk/venues/tor-spa-retreat,65,Warning,No,429,4,1,Yes,No,Yes,No,No,Yes,Yes,enq@torsparetreat.com,form,No,Yes,0,7,0,3,4
Tower House Canterbury,https://www.kentvenues.co.uk/venues/tower-house-canterbury,60,Critical,No,846,6,0,Yes,No,Yes,No,No,Yes,Yes,enquiries@towerhousecanterbury.co.uk,form,No,Yes,3,6,1,2,3
Town Clerks Office,https://www.kentvenues.co.uk/venues/town-clerks-office,39,Critical,No,300,2,0,No,No,Yes,Yes,No,Yes,Yes,enquiries@sandwichtowncouncil.gov.uk,form,No,Yes,3,7,2,3,2
Travelodge Dartford,https://www.kentvenues.co.uk/venues/travelodge-dartford,31,Critical,No,192,1,2,No,Yes,No,Yes,No,Yes,No,,,No,No,1,8,2,5,1
Tudor Barn Eltham,https://www.kentvenues.co.uk/venues/tudor-barn-eltham,98,Suggestions,No,3131,18,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,eventssales@tudorbarneltham.co.uk,form,No,Yes,1,1,0,0,1
Tudor Park Marriott Hotel & Country Club,https://www.kentvenues.co.uk/venues/tudor-park-a-marriott-hotel-country-club,82,Warning,No,743,4,7,Yes,Yes,No,Yes,Yes,Yes,Yes,mhrs.tdmgs.frontdesk@marriotthotels.com,form,No,Yes,3,4,0,1,3
Turkey Mill,https://www.kentvenues.co.uk/venues/turkey-mill,32,Critical,No,226,3,0,No,No,No,No,No,Yes,Yes,estate@turkeymill.co.uk,form,No,Yes,3,9,2,3,4
Turner Contemporary,https://www.kentvenues.co.uk/venues/turner-contemporary,58,Critical,No,1148,3,1,No,No,Yes,No,Yes,Yes,Yes,info@turnercontemporary.org,form,No,Yes,2,7,1,2,4
The Two Brewers,https://www.kentvenues.co.uk/venues/two-brewers,22,Critical,No,1086,2,0,No,No,Yes,No,No,Yes,No,,,No,No,1,8,3,3,2
University of Kent,https://www.kentvenues.co.uk/venues/university-of-kent,46,Critical,No,472,2,0,Yes,No,No,Yes,No,Yes,Yes,information@kent.ac.uk,form,No,Yes,2,7,1,4,2
Upchurch River Valley Golf Club,https://www.kentvenues.co.uk/venues/upchurch-river-valley-golf-club,49,Critical,No,436,0,0,Yes,No,Yes,Yes,Yes,Yes,Yes,jenny@rivervalleygolf.co.uk,form,No,Yes,0,6,2,1,3
Village Hotel Maidstone,https://www.kentvenues.co.uk/venues/village-hotel-maidstone,64,Critical,No,427,3,6,No,Yes,Yes,Yes,No,Yes,Yes,facebook@village-hotels.com,form,No,No,2,6,1,1,4
"Vue Westwood Cross, Thanet",https://www.kentvenues.co.uk/venues/vue-westwood-cross-thanet,35,Critical,No,291,0,1,No,Yes,No,No,No,Yes,Yes,customerservices@vuemail.com,form,No,Yes,1,8,2,3,3
Walpole Bay Hotel,https://www.kentvenues.co.uk/venues/walpole-bay-hotel,59,Critical,No,847,5,2,No,No,Yes,Yes,No,Yes,Yes,info@walpolebayhotel.co.uk,form,No,Yes,3,6,1,3,2
Wards Hotel,https://www.kentvenues.co.uk/venues/wards-hotel,59,Critical,No,667,3,3,No,No,Yes,Yes,No,Yes,Yes,reservations@wardshotel.co.uk,form,No,Yes,3,6,1,2,3
Weald of Kent Golf Course & Hotel,https://www.kentvenues.co.uk/venues/weald-of-kent-golf-course-hotel,57,Critical,No,832,2,2,No,Yes,Yes,Yes,No,Yes,Yes,info@weald-of-kent.co.uk,form,No,Yes,3,6,1,3,2
West Faversham Community Centre,https://www.kentvenues.co.uk/venues/west-faversham-community-centre,86,Warning,No,972,5,2,Yes,Yes,Yes,No,Yes,Yes,Yes,info@westfavershamca.org,form,No,Yes,3,4,0,1,3
West Heath Centre,https://www.kentvenues.co.uk/venues/west-heath-centre,34,Critical,No,368,5,0,No,No,No,No,No,Yes,Yes,weddingsandevents@westheath.com,form,No,Yes,0,9,2,3,4
West Kent Golf Club,https://www.kentvenues.co.uk/venues/west-kent-golf-club,73,Warning,No,508,3,2,Yes,Yes,Yes,No,No,Yes,Yes,golf@wkgc.co.uk,form,No,Yes,1,6,0,2,4
West Malling Golf Club,https://www.kentvenues.co.uk/venues/west-malling-golf-club,63,Critical,No,640,4,3,No,Yes,Yes,No,No,Yes,Yes,info@westmallinggolf.com,form,No,Yes,1,6,1,1,4
Westenhanger Castle,https://www.kentvenues.co.uk/venues/westenhanger-castle,78,Warning,No,2386,19,1,Yes,Yes,Yes,No,No,Yes,Yes,hello@westenhangercastle.co.uk,form,No,Yes,2,5,0,2,3
Westerham Golf Club,https://www.kentvenues.co.uk/venues/westerham-golf-club,55,Critical,No,1497,5,2,No,No,Yes,No,No,Yes,Yes,info@westerhamgc.co.uk,form,No,Yes,3,7,1,3,3
Westgate Hall,https://www.kentvenues.co.uk/venues/westgate-hall,73,Critical,No,1249,7,6,No,Yes,Yes,No,Yes,Yes,Yes,info@westgatehall.org,form,No,No,3,5,1,0,4
White Lion Hotel,https://www.kentvenues.co.uk/venues/white-lion-hotel,59,Critical,No,289,4,3,No,No,Yes,Yes,No,Yes,Yes,info@whiteliontenterden.com,form,No,Yes,3,6,1,2,3
Whitstable Castle & Gardens,https://www.kentvenues.co.uk/venues/whitstable-castle-gardens,42,Critical,No,330,3,1,No,No,No,No,No,Yes,Yes,enquiries@whitstablecastle.co.uk,form,No,Yes,3,9,1,4,4
Wilderness Wedding Venue,https://www.kentvenues.co.uk/venues/wilderness-wedding-venue,59,Critical,No,625,13,1,No,No,Yes,Yes,No,Yes,Yes,anna@wildernessweddings.co.uk,form,No,Yes,0,6,1,3,2
Willesborough Windmill,https://www.kentvenues.co.uk/venues/willesborough-windmill,25,Critical,No,1393,0,0,No,No,Yes,No,No,Yes,Yes,pat@windmillweddings.co.uk,form,No,Yes,0,8,3,2,3
Winter Gardens Theatre,https://www.kentvenues.co.uk/venues/winter-gardens-theatre,22,Critical,No,191,2,0,No,No,No,No,No,Yes,Yes,boxoffice@yourleisure.uk.com,form,No,Yes,1,10,2,5,3
Winters Barns,https://www.kentvenues.co.uk/venues/winters-barns,32,Critical,No,382,3,0,No,No,No,No,No,Yes,Yes,events@winters-barns.co.uk,form,No,Yes,1,9,2,3,4
Wise Wedding Venue,https://www.kentvenues.co.uk/venues/wise-wedding-venue,37,Critical,No,319,5,0,No,No,No,No,No,Yes,Yes,info@wiseweddingvenue.co.uk,form,No,Yes,1,8,2,3,3
Woodlands Art Centre,https://www.kentvenues.co.uk/venues/woodlands-art-centre,98,Suggestions,No,2171,13,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,arts.sports@aow.uk.com,form,No,Yes,3,1,0,0,1
Woolpack Inn Chilham,https://www.kentvenues.co.uk/venues/woolpack-inn-chilham,69,Critical,No,2378,5,2,Yes,No,Yes,Yes,Yes,Yes,No,,,No,Yes,3,4,1,2,1
Yoakley House,https://www.kentvenues.co.uk/venues/yoakley-house,17,Critical,No,68,2,0,No,No,No,No,No,Yes,Yes,admin@yoakleycare.co.uk,form,No,Yes,1,10,2,5,3
