Venue Name,URL,Score,Severity,Unclaimed Listing,Description Length,Photo Count,Amenity Count,Has Capacity,Has Parking,Has Catering,Has Accommodation,Has Accessibility,Has Email,Has Phone,Has Website,Has Facebook,Has Twitter/X,Has Instagram,Room Count,Issue Count,Critical Issues,Warnings,Suggestions
Three Hills Sports Park,https://www.kentvenues.co.uk/venues/three-hills-sports-park,90,Suggestions,No,3599,4,3,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,3,0,0,3
Tonbridge Castle,https://www.kentvenues.co.uk/venues/tonbridge-castle,0,Critical,No,0,2,0,No,No,No,No,No,Yes,No,Yes,No,No,No,0,12,3,5,4
Tonbridge Grammar School,https://www.kentvenues.co.uk/venues/tonbridge-grammar-school,28,Critical,No,465,3,0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,1,10,2,4,4
Tonbridge School (Events),https://www.kentvenues.co.uk/venues/tonbridge-school-events,32,Critical,No,505,4,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,3,9,2,3,4
TOR Spa Retreat,https://www.kentvenues.co.uk/venues/tor-spa-retreat,61,Warning,No,429,4,1,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,0,8,0,4,4
Tower House Canterbury,https://www.kentvenues.co.uk/venues/tower-house-canterbury,60,Critical,No,846,6,0,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,6,1,2,3
Town Clerks Office,https://www.kentvenues.co.uk/venues/town-clerks-office,35,Critical,No,300,2,0,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3,8,2,4,2
Travelodge Dartford,https://www.kentvenues.co.uk/venues/travelodge-dartford,27,Critical,No,192,1,2,No,Yes,No,Yes,No,No,No,No,Yes,No,No,1,11,1,7,3
Tudor Barn Eltham,https://www.kentvenues.co.uk/venues/tudor-barn-eltham,98,Suggestions,No,3131,18,11,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1,1,0,0,1
Tudor Park Marriott Hotel & Country Club,https://www.kentvenues.co.uk/venues/tudor-park-a-marriott-hotel-country-club,82,Warning,No,743,4,7,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,4,0,1,3
Turkey Mill,https://www.kentvenues.co.uk/venues/turkey-mill,32,Critical,No,226,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,3,9,2,3,4
Turner Contemporary,https://www.kentvenues.co.uk/venues/turner-contemporary,58,Critical,No,1148,3,1,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,2,7,1,2,4
The Two Brewers,https://www.kentvenues.co.uk/venues/two-brewers,22,Critical,No,1086,2,0,No,No,Yes,No,No,No,No,No,No,No,No,1,8,3,3,2
University of Kent,https://www.kentvenues.co.uk/venues/university-of-kent,46,Critical,No,472,2,0,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2,7,1,4,2
Upchurch River Valley Golf Club,https://www.kentvenues.co.uk/venues/upchurch-river-valley-golf-club,43,Critical,No,436,0,0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0,7,2,2,3
Village Hotel Maidstone,https://www.kentvenues.co.uk/venues/village-hotel-maidstone,64,Critical,No,427,3,6,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,2,6,1,1,4
"Vue Westwood Cross, Thanet",https://www.kentvenues.co.uk/venues/vue-westwood-cross-thanet,35,Critical,No,291,0,1,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,8,2,3,3
Walpole Bay Hotel,https://www.kentvenues.co.uk/venues/walpole-bay-hotel,55,Critical,No,847,5,2,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3,7,1,4,2
Wards Hotel,https://www.kentvenues.co.uk/venues/wards-hotel,59,Critical,No,667,3,3,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,6,1,2,3
Weald of Kent Golf Course & Hotel,https://www.kentvenues.co.uk/venues/weald-of-kent-golf-course-hotel,57,Critical,No,832,2,2,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,6,1,3,2
West Faversham Community Centre,https://www.kentvenues.co.uk/venues/west-faversham-community-centre,82,Warning,No,972,5,2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,3,5,0,2,3
West Heath Centre,https://www.kentvenues.co.uk/venues/west-heath-centre,30,Critical,No,368,5,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,0,10,2,4,4
West Kent Golf Club,https://www.kentvenues.co.uk/venues/west-kent-golf-club,73,Warning,No,508,3,2,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,6,0,2,4
West Malling Golf Club,https://www.kentvenues.co.uk/venues/west-malling-golf-club,63,Critical,No,640,4,3,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,6,1,1,4
Westenhanger Castle,https://www.kentvenues.co.uk/venues/westenhanger-castle,78,Warning,No,2386,19,1,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,2,5,0,2,3
Westerham Golf Club,https://www.kentvenues.co.uk/venues/westerham-golf-club,55,Critical,No,1497,5,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,7,1,3,3
Westgate Hall,https://www.kentvenues.co.uk/venues/westgate-hall,73,Critical,No,1249,7,6,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,3,5,1,0,4
White Lion Hotel,https://www.kentvenues.co.uk/venues/white-lion-hotel,59,Critical,No,289,4,3,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,6,1,2,3
Whitstable Castle & Gardens,https://www.kentvenues.co.uk/venues/whitstable-castle-gardens,38,Critical,No,330,3,1,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,3,10,1,5,4
Wilderness Wedding Venue,https://www.kentvenues.co.uk/venues/wilderness-wedding-venue,55,Critical,No,625,13,1,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,0,7,1,4,2
Willesborough Windmill,https://www.kentvenues.co.uk/venues/willesborough-windmill,21,Critical,No,1393,0,0,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,0,9,3,3,3
Winter Gardens Theatre,https://www.kentvenues.co.uk/venues/winter-gardens-theatre,18,Critical,No,191,2,0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,1,11,2,6,3
Winters Barns,https://www.kentvenues.co.uk/venues/winters-barns,32,Critical,No,382,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,9,2,3,4
Wise Wedding Venue,https://www.kentvenues.co.uk/venues/wise-wedding-venue,33,Critical,No,319,5,0,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,1,9,2,4,3
Woodlands Art Centre,https://www.kentvenues.co.uk/venues/woodlands-art-centre,98,Suggestions,No,2171,13,10,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,1,0,0,1
Woolpack Inn Chilham,https://www.kentvenues.co.uk/venues/woolpack-inn-chilham,68,Warning,No,2378,5,2,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,3,6,0,4,2
Yoakley House,https://www.kentvenues.co.uk/venues/yoakley-house,13,Critical,No,68,2,0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,1,11,2,6,3
